title,location,seniority_level,employment_type,industries,company_name,time_posted,num_applicants,inferred_skills,skills_combined
SQL Developer Trainee,Not Specified,Not Specified,Not Specified,Not Specified,Innovate Solutions,2025-05-02,0,"['Learning', 'Data Entry', 'Communication', 'Problem Solving']",Learning Data Entry Communication Problem Solving
ETL Developer,Not Specified,Not Specified,Not Specified,Not Specified,American Express Global Business Travel,2025-05-03,0,"['Etl', 'Sql', 'Data Integration', 'Data Warehousing']",Etl Sql Data Integration Data Warehousing
PowerBi Developer,Not Specified,Not Specified,Not Specified,Not Specified,Jabil,2025-05-04,0,"['Power Bi', 'Sql', 'Data Visualization', 'Business Intelligence']",Power Bi Sql Data Visualization Business Intelligence
SQL Developer,Not Specified,Not Specified,Not Specified,Not Specified,Finacus Solutions,2025-05-02,0,"['Sql', 'Database Management', 'T-Sql', 'Query Optimization']",Sql Database Management T-Sql Query Optimization
Database Administrator,"Bengaluru, Karnataka, India",Not Applicable,Full-time,Insurance,Axa Xl,2025-05-01,0,"['Sql', 'Database Administration', 'Performance Tuning', 'Backups', 'Indexing']",Sql Database Administration Performance Tuning Backups Indexing
Database Administrator,"Gurugram, Haryana, India",Mid-Senior level,Full-time,IT Services and IT Consulting,Mphasis,2025-05-04,0,"['Sql', 'Database Administration', 'Performance Tuning', 'Backups', 'Indexing']",Sql Database Administration Performance Tuning Backups Indexing
Staff Database Admin,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Financial Services,Blackhawk Network,2025-05-01,0,"['Sql', 'Database Administration', 'Performance Tuning', 'Backups', 'Indexing']",Sql Database Administration Performance Tuning Backups Indexing
MS SQL Database Administrator,Mumbai Metropolitan Region,Director,Full-time,Telecommunications,Jio,2025-05-03,0,"['Sql', 'Database Administration', 'Performance Tuning', 'Backups', 'Indexing']",Sql Database Administration Performance Tuning Backups Indexing
MySQL,"Hyderabad, Telangana, India",Not Applicable,Full-time,IT Services and IT Consulting,Tata Consultancy Services,2025-05-02,0,"['Mysql', 'Database Management', 'Sql']",Mysql Database Management Sql
DBA,"Andhra Pradesh, India",Associate,Full-time,IT Services and IT Consulting,Virtusa,2025-05-06,0,"['Sql', 'Database Management', 'Database Administration', 'Tuning']",Sql Database Management Database Administration Tuning
MSSQL Database Administrator/Engineer,"Pune, Maharashtra, India",Entry level,Full-time,Banking,Barclays Business Banking,2025-05-01,0,"['Sql', 'Database Administration', 'Performance Tuning', 'Backups', 'Indexing']",Sql Database Administration Performance Tuning Backups Indexing
SQL Server Database Administrator IRC259260,"Gurgaon, Haryana, India",Not Applicable,Full-time,Software Development,Globallogic,2025-05-01,0,"['Sql', 'Database Administration', 'Performance Tuning', 'Backups', 'Indexing']",Sql Database Administration Performance Tuning Backups Indexing
Database Administrator 2-IT,"Noida, Uttar Pradesh, India",Mid-Senior level,Full-time,IT Services and IT Consulting,Oracle,2025-05-01,0,"['Sql', 'Database Administration', 'Performance Tuning', 'Backups', 'Indexing']",Sql Database Administration Performance Tuning Backups Indexing
